Name,City
Centre de formation professionnelle des Îles,Les Îles-de-la-Madeleine
Cégep de Lévis-Lauzon,Lévis
Centre de formation en mécanique de véhicules lourds,Lévis
Centre de formation en montage de lignes,Lévis
Centre de formation professionnelle de Lévis,Lévis
Centre de formation professionnelle Gabriel-Rousseau,Lévis
Centre de robotique et de vision industrielles inc.,Lévis
Centre national de conduite d’engins de chantier,Lévis
TransBIOTech Centre de recherche et de transfert en biotechnologie,Lévis
Cargair ltée,Longueuil
Cégep Édouard Montpetit,Longueuil
Centre de formation professionnelle Charlotte-Tassé,Longueuil
Centre de formation professionnelle Jacques-Rousseau,Longueuil
Centre de formation professionnelle Pierre-Dupuy,Longueuil
École hôtelière de la Montérégie,Longueuil
Centre de formation professionnelle de Memphrémagog,Magog
Centre de formation professionnelle de la Vallée-de-la-Gatineau,Maniwaki
Centre de formation professionnelle de Maniwaki,Maniwaki
École secondaire Kassinu Mamu,Mashteuiatsh
Cégep de Matane,Matane
Centre de formation professionnelle de Matane,Matane
Centre de formation agricole de Mirabel,Mirabel
Centre de formation du transport routier de Saint-Jérôme,Mirabel
Centre de formation professionnelle de Mont-Joli-Mitis,Mont-Joli
Centre de formation professionnelle de Mont-Laurier,Mont-Laurier
Collège national de science et technologie,Montreal
École Pivaut Montréal Inc,Montreal
Institut Quadrilium de Montréal,Montreal
McGill University,Montréal
Campus d'effets visuels Inc,Montréal
Cégep André-Laurendeau,Montréal
Cégep d’Ahuntsic,Montréal
Cégep de Bois-de-Boulogne,Montréal
Cégep de la Gaspésie et des Îles,Montréal
Cégep de Maisonneuve,Montréal
Cégep de Rosemont,Montréal
Cégep de Saint-Laurent,Montréal
Cégep du Vieux Montréal,Montréal
Cégep Gérald-Godin,Montréal
Cégep Marie-Victorin,Montréal
Centre d’étude en responsabilité sociale et écocitoyenneté (CÉRSÉ),Montréal
Centre d’études commerciales Shadd,Montréal
Centre d’études en procédés chimiques du Québec (CÉPROCQ),Montréal
Centre de carrières Saint Pius X,Montréal
Centre de formation professionnelle Anjou,Montréal
Centre de formation professionnelle Antoine-de-Saint-Exupéry,Montréal
Centre de formation professionnelle Calixa-Lavallée,Montréal
Centre de formation professionnelle Daniel-Johnson,Montréal
Centre de formation professionnelle de Lachine,Montréal
Centre de formation professionnelle de Verdun,Montréal
Centre de formation professionnelle des Sources,Montréal
Centre de formation professionnelle Léonard-De Vinci,Montréal
Centre de formation professionnelle pour Autochtones dans les métiers de la construction,Montréal
Centre de recherche pour l’inclusion scolaire et professionnelle des étudiants en situation de handicap,Montréal
Centre de technologie Rosemont,Montréal
Centre des technologies de l’eau,Montréal
Centre intégré de mécanique   de métallurgie et d’électricité (CIMME),Montréal
Centre régional de formation à distance du Grand-Montréal,Montréal
Collège Cumberland Inc.,Montréal
Collège Dawson,Montréal
Collège de technologie Ascent Inc.,Montréal
Collège Greystone,Montréal
Collège l’Avenir de Rosemont,Montréal
Collège M du Canada,Montréal
Concordia University,Montréal
Conservatoire de musique de Montréal,Montréal
École de management INSA,Montréal
École de technologie supérieure,Montréal
École des entrepreneurs du Québec,Montréal
École des Hautes Études Commerciales de Montréal (HEC Montréal),Montréal
École des métiers de l’aérospatiale de Montréal,Montréal
École des métiers de l’équipement motorisé de Montréal,Montréal
École des métiers de l’horticulture de Montréal,Montréal
École des métiers de l’informatique   du commerce et de l’administration de Montréal (ÉMICA),Montréal
École des métiers de la construction de Montréal,Montréal
École des métiers de la restauration et du tourisme de Montréal,Montréal
École des métiers des Faubourgs-de-Montréal,Montréal
École des métiers du meuble de Montréal,Montréal
École des métiers du Sud-Ouest-de-Montréal,Montréal
École Polytechnique de Montréal,Montréal
Institut de formation théologique de Montréal,Montréal
Institut de recherche sur l’intégration professionnelle des immigrants (IRIPI),Montréal
Institut de technologie des emballages et du génie alimentaire (ITEGA),Montréal
Institut de tourisme et d’hôtellerie du Québec,Montréal
Institut des communications graphiques et de l’imprimabilité,Montréal
Institut international de logistique de Montréal (IILM),Montréal
Ordre des comptables professionnels agréés,Montréal
Rubika   école supérieure de création numérique appliquée à l’animation   au design et au jeu vidéo inc.,Montréal
Université de Montréal,Montréal
Université du Québec à Montréal,Montréal
Vanier College,Montréal
VESTECHPRO Centre de recherche et d’innovation en habillement,Montréal
Collège Kensley,Montréal
Centre de formation professionnelle Anchor,New Carlisle
Centre de formation professionnelle de Nicolet,Nicolet
École secondaire Mikisiw,Obedjiwan
Centre de formation professionnelle Châteauguay Valley,Ormstown
Centre de formation professionnelle West-Island,Pierrefonds
Centre de formation professionnelle André-Morissette,Plessisville
Cégep de Sainte-Foy,Quebec
Cégep François-Xavier Garneau,Quebec
Cégep Limoilou,Quebec
Centre de solutions technologiques en orthèses et prothèses (CSTOP),Quebec
Centre en imagerie numérique et médias interactifs (CIMMI),Quebec
Conservatoire de musique de Québec,Quebec
École nationale d’administration publique,Quebec
Institut national de la recherche scientifique,Quebec
Télé-université,Quebec
Université du Québec,Quebec
Université Laval,Quebec
Centre de formation en transport de Charlesbourg,Québec
Centre de formation professionnelle de Fierbourg,Québec
Centre de formation professionnelle de Limoilou,Québec
Centre de formation professionnelle de Neufchâtel,Québec
Centre de formation professionnelle de Québec,Québec
Centre de formation professionnelle Marie-Rollet,Québec
Centre de formation professionnelle Maurice-Barbeau,Québec
Centre de formation professionnelle Samuel-De Champlain,Québec
Centre de formation professionnelle Wilbrod-Bherer,Québec
Centre de formation professsionnelle Eastern Québec,Québec
École des métiers et occupations de l’industrie de la construction de Québec,Québec
École hôtelière de la Capitale,Québec
Cégep régional de Lanaudière,Repentigny
Centre de développement des compétences Laurier,Repentigny
Centre de formation professionnelle des Riverains,Repentigny
Cégep de Rimouski,Rimouski
Centre de formation professionnelle de Rimouski-Neigette,Rimouski
Conservatoire de musique de Rimouski,Rimouski
Innovation maritime,Rimouski
Université du Québec à Rimouski,Rimouski
Cégep de Rivière-du-Loup,Rivière-du-Loup
Centre de formation professionnelle Pavillon-de-l’Avenir,Rivière-du-Loup
Centre Polymétier,Rouyn-Noranda
Centre technologique des résidus industriels,Rouyn-Noranda
Université du Québec en Abitibi-Témiscamingue,Rouyn-Noranda
Cégep de Chicoutimi,Saguenay
Cégep de Jonquière,Saguenay
Centre de formation professionnelle du Fjord,Saguenay
Centre de formation professionnelle en équipement motorisé,Saguenay
Centre de formation professionnelle Jonquière,Saguenay
Centre de géomatique du Québec inc.,Saguenay
Centre de production automatisée (CPA),Saguenay
Conservatoire de musique de Saguenay,Saguenay
ÉCOBES Recherche et transfert,Saguenay
Université du Québec à Chicoutimi,Saguenay
Centre de formation agricole,Saint-Anselme
Centre de formation professionnelle Saint-Augustine,Saint-Augustin
Centre sectoriel des plastiques,Saint-Damien-de-Buckland
Centre de développement des compétences Laurier,Saint-Eustache
Cégep de St-Félicien,Saint-Félicien
Cégep Beauce-Appalaches,Saint-Georges
Centre de formation professionnelle Pozer,Saint-Georges
Centre intégré de mécanique industrielle de la Chaudière,Saint-Georges
MÉCANIUM inc.,Saint-Georges
Centre technologique en aérospatiale C.T.A.,Saint-Hubert
Institut de technologie agroalimentaire,Saint-Hyacinthe
Cégep de St-Hyacinthe,Saint-Hyacinthe
Cintech agroalimentaire,Saint-Hyacinthe
École professionnelle de Saint-Hyacinthe,Saint-Hyacinthe
Groupe CTT inc.,Saint-Hyacinthe
Cégep Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu
Centre de formation professionnelle Chanoine-Armand-Racicot,Saint-Jean-sur-Richelieu
École professionnelle des Métiers,Saint-Jean-sur-Richelieu
Royal Military College Saint-Jean,Saint-Jean-sur-Richelieu
Cégep de Saint-Jérôme,Saint-Jérôme
Centre d’études professionnelles,Saint-Jérôme
Centre de développement des composites du Québec (CDCQ),Saint-Jérôme
Institut du transport avancé du Québec,Saint-Jérôme
Centre de formation professionnelle ACCESS,Saint-Lambert
Centre de formation professionnelle Laurier Macdonald,Saint-Léonard
Maison familiale rurale du Granit,Saint-Romain
École hôtelière des Laurentides,Sainte-Adèle
McGill University,Sainte-Anne-de-Bellevue
Cégep John Abbott,Sainte-Anne-de-Bellevue
Centre de formation professionnelle de La Haute-Gaspésie,Sainte-Anne-des-Monts
École de foresterie et de technologie du bois de Duchesnay,Sainte-Catherine-de-la-Jacques-Cartier
Centre de formation professionnelle des Patriotes,Sainte-Julie
Centre de formation des Bâtisseurs,Sainte-Marie
Cégep Lionel Groulx,Sainte-Thérèse
Centre d’innovation en microélectronique du Québec (CIMEQ),Sainte-Thérèse
Centre de formation des Nouvelles-Technologies,Sainte-Thérèse
Cégep de Valleyfield,Salaberry-de-Valleyfield
Centre de formation professionnelle de la Pointe-du-Lac,Salaberry-de-Valleyfield
Kanatamat Tshitipenitamunu,Schefferville
Cégep de Sept-Îles,Sept-Îles
Centre de formation professionnelle A.-W.-Gagné,Sept-Îles
Centre de formation professionnelle de Northern Lights,Sept-Îles
École Manikanetish du conseil des Montagnais de Sept-Îles et Maliotenam,Sept-Îles
Institut technologique de maintenance industrielle,Sept-Îles
Centre national en électrochimie et en technologies environnementales inc.,Shawinigan
Collège Shawinigan,Shawinigan
Centre de formation continue Pontiac,Shawville
Bishop’s University,Sherbrooke
Cégep de Sherbrooke,Sherbrooke
Centre de formation professionnelle 24-Juin,Sherbrooke
Centre de productique intégrée du Québec inc.,Sherbrooke
Champlain Regional College,Sherbrooke
Université de Sherbrooke,Sherbrooke
Cégep de Sorel-Tracy,Sorel-Tracy
Centre de formation professionnelle Bernard-Gariépy,Sorel-Tracy
Centre de transfert technologique en écologie industrielle   centre J-E. Simard,Sorel-Tracy
Centre de formation professionnelle CSSMI-CSSWL,St-Eustache
Centre l’Envol,Témiscaming
Centre de formation professionnelle du Fleuve-et-des-Lacs,Témiscouata-sur-le-Lac
Centre de formation professionnelle des Moulins,Terrebonne
Cégep de Thetford,Thetford Mines
Centre de formation professionnelle de Black Lake,Thetford Mines
Centre de formation professionnelle le Tremplin,Thetford Mines
Centre de technologie minérale et de plasturgie inc.,Thetford Mines
Oleotek inc.,Thetford Mines
Cégep de Trois-Rivières,Trois-Rivières
Centre collégial de transfert de technologie en télécommunications,Trois-Rivières
Centre de formation professionnelle Bel-Avenir,Trois-Rivières
Centre de formation professionnelle Qualitech,Trois-Rivières
Centre de métallurgie du Québec,Trois-Rivières
Conservatoire de musique de Trois-Rivières,Trois-Rivières
Innofibre - Centre d’innovation des produits cellulosiques,Trois-Rivières
Université du Québec à Trois-Rivières,Trois-Rivières
Centre de formation professionnelle Val-d’Or,Val-d’Or
Conservatoire de musique de Val-d’Or,Val-d’Or
Centre de formation professionnelle Paul-Gérin-Lajoie,Vaudreuil-Dorion
Centre de formation des métiers de Verdun,Verdun
Cégep de Victoriaville,Victoriaville
Centre d’innovation sociale en agriculture,Victoriaville
Centre de formation professionnelle Vision 20 20,Victoriaville
École Nationale du meuble et de l’ébénisterie,Victoriaville
EQMBO-Entreprises Centre d’aide technique et technologique inc.,Victoriaville
Centre Frère-Moffet,Ville-Marie
Centre de formation professionnelle de Waswanipi,Waswanipi
Centre d’excellence en formation industrielle,Windsor
